"Geometrie","art","id","art_id","Attachments"
"MULTIPOINT Z((349993.2659464933 5775918.839516199 -43.831585312044126))","","70","6",""
"MULTIPOINT Z((349959.3481902858 5775912.577910219 -43.831515945362675))","","71","6",""
"MULTIPOINT Z((349934.2580354206 5775942.467346055 -43.83084747533319))","","72","2",""
"MULTIPOINT Z((349925.86984283105 5775961.703846861 -43.83045484128204))","","73","2",""
"MULTIPOINT Z((349801.4748628004 5776003.168688051 -43.8290446911126))","","74","1",""
"MULTIPOINT Z((349621.19254797965 5776002.300205868 -43.82809564209502))","","75","3",""
"MULTIPOINT Z((349607.3470294056 5776009.65352242 -43.827889756836626))","","76","1",""
"MULTIPOINT Z((349601.8069354272 5776019.486371352 -43.827683837165054))","","77","4",""
"MULTIPOINT Z((350638.59833013365 5776406.353455173 -43.82627367611947))","","78","1",""
"MULTIPOINT Z((350588.19724692573 5776311.716579567 -43.8277059380159))","","79","8",""
"MULTIPOINT Z((350582.03950864915 5776279.882791789 -43.82824588098755))","","80","9",""
"MULTIPOINT Z((350576.4858714358 5776269.935649906 -43.828395232138504))","","81","9",""
"MULTIPOINT Z((350567.3644441049 5776274.318680037 -43.828268289056794))","","82","9",""
"MULTIPOINT Z((350553.4203416636 5776279.44841098 -43.82810089651939))","","83","9",""
"MULTIPOINT Z((350539.4145464633 5776268.504310655 -43.82822327909728))","","84","9",""
"MULTIPOINT Z((350526.7569557153 5776274.807348249 -43.82804202064224))","","85","9",""
"MULTIPOINT Z((350509.9451952039 5776268.989355652 -43.82805734848149))","","86","9",""
"MULTIPOINT Z((350437.24764945597 5776188.687611976 -43.82911194815437))","","87","4",""
"MULTIPOINT Z((350420.1772336147 5776157.446862368 -43.829582135351394))","","88","4",""
"MULTIPOINT Z((350401.4537747192 5776148.949754499 -43.82963498326389))","","89","9",""
"MULTIPOINT Z((350381.5150151802 5776156.813460069 -43.82938708134898))","","90","9",""
"MULTIPOINT Z((350365.1778442028 5776152.579622046 -43.829375743186404))","","91","9",""
"MULTIPOINT Z((350362.5689374897 5776108.796000451 -43.830148998852295))","","92","8",""
"MULTIPOINT Z((350373.4364103359 5776076.840336239 -43.830781191275165))","","93","8",""
"MULTIPOINT Z((350335.9028239153 5776066.444743968 -43.830767250378685))","","94","5",""
"MULTIPOINT Z((350343.34010779334 5776078.63300673 -43.83058808628833))","2 relativ klein geht aber","95","5",""
"MULTIPOINT Z((350413.127670007 5776007.017188044 -43.832248645639226))","","96","1",""
"MULTIPOINT Z((350229.00479418045 5776075.522469405 -43.83003223480662))","","97","4",""
"MULTIPOINT Z((350157.69912430394 5775906.988081806 -43.832678330183825))","direkt neben riesiger pappel","98","5",""
"MULTIPOINT Z((350156.1887301302 5775890.273879685 -43.83297080757905))","","99","3",""
"MULTIPOINT Z((350148.2277256767 5775815.494306749 -43.83427133541109))","","100","8",""
"MULTIPOINT Z((350210.49111455714 5775792.076904507 -43.835025874913256))","","101","8",""
"MULTIPOINT Z((350336.22175804153 5775804.339221171 -43.835479335010646))","","102","2",""
"MULTIPOINT Z((350439.1976994355 5775762.134884251 -43.83678988178394))","","103","9",""
"MULTIPOINT Z((350457.916460963 5775743.658465299 -43.83722270560868))","","104","9",""
"MULTIPOINT Z((350470.77232333255 5775737.512230469 -43.837401753203416))","","105","9",""
"MULTIPOINT Z((350476.48348825105 5775746.430158009 -43.8372722095181))","","106","9",""
"MULTIPOINT Z((350479.7981475599 5775730.364698349 -43.83757872828196))","","107","9",""
"MULTIPOINT Z((350640.446596045 5776130.094014566 -43.831251875796355))","","108","8",""
"MULTIPOINT Z((350579.97142210504 5776155.861220957 -43.83046482589889))","","109","5",""
"MULTIPOINT Z((350566.1368426888 5776161.3595516635 -43.830292145936255))","","110","3",""
"MULTIPOINT Z((350571.61092226545 5776188.067661177 -43.82984119761673))","","111","1",""
