ID;East;North;Elev;Lon;Lat;Alt;Pdop;HRMS;VRMS;Time;art;umfang;durchmesser;kraft
238;350550.26;5776285.96;32.62;6.81721777;52.11688499;32.62;0.95;0.01;0.02;2024/12/05 12:09:14;"ag";39.00;-9999.00;"3"
239;350551.39;5776286.91;-2.00;6.81723380;52.11689380;-2.00;0.95;0.20;0.28;2024/12/05 12:09:54;"ag";42.00;-9999.00;"3"
240;350552.24;5776289.57;33.33;6.81724494;52.11691798;33.33;0.95;0.01;0.02;2024/12/05 12:10:30;"le";91.00;-9999.00;"2"
241;350552.03;5776293.17;32.60;6.81724035;52.11695022;32.60;0.95;0.02;0.03;2024/12/05 12:11:27;"le";59.00;-9999.00;"3"
242;350553.64;5776293.21;-2.00;6.81726387;52.11695100;-2.00;0.95;0.19;0.23;2024/12/05 12:12:17;"le";48.50;-9999.00;"3"
243;350555.47;5776291.85;33.05;6.81729112;52.11693933;33.05;0.95;0.01;0.02;2024/12/05 12:13:20;"ag";37.00;-9999.00;"4"
244;350556.14;5776290.70;32.73;6.81730147;52.11692916;32.73;0.99;0.04;0.05;2024/12/05 12:14:16;"bp";24.00;-9999.00;"4"
245;350563.01;5776292.99;33.39;6.81740071;52.11695158;33.39;0.94;0.01;0.02;2024/12/05 12:15:36;"le";92.00;-9999.00;"2"
246;350560.42;5776294.15;33.41;6.81736237;52.11696132;33.41;0.94;0.05;0.07;2024/12/05 12:16:18;"le";139.00;-9999.00;"1"
247;350563.35;5776290.61;32.70;6.81740665;52.11693030;32.70;0.94;0.01;0.01;2024/12/05 12:17:07;"ag";60.50;-9999.00;"3"
248;350565.95;5776292.91;33.23;6.81744358;52.11695169;33.23;0.96;0.01;0.02;2024/12/05 12:17:38;"le";103.50;-9999.00;"2"
249;350570.22;5776289.65;32.49;6.81750742;52.11692356;32.49;1.06;0.01;0.02;2024/12/05 12:18:13;"ag";47.00;-9999.00;"3"
250;350574.95;5776177.10;71.80;6.81762577;52.11591364;71.80;1.50;0.00;0.00;2024/12/05 12:57:20;"pstr";28.00;-9999.00;"3"
251;350578.99;5776175.61;79.10;6.81768543;52.11590130;79.10;1.60;0.00;0.00;2024/12/05 12:58:20;"pstr";20.00;-9999.00;"4"
252;350576.96;5776176.69;77.80;6.81765532;52.11591052;77.80;1.60;0.00;0.00;2024/12/05 12:58:54;"ps";67.00;-9999.00;"2"
253;350575.59;5776181.04;76.20;6.81763347;52.11594920;76.20;1.80;0.00;0.00;2024/12/05 13:01:55;"pstr";56.00;-9999.00;"3"
254;350574.77;5776181.17;76.40;6.81762145;52.11595014;76.40;1.60;0.00;0.00;2024/12/05 13:02:28;"pstr";52.00;-9999.00;"3"
255;350571.30;5776178.92;77.10;6.81757168;52.11592895;77.10;1.60;0.00;0.00;2024/12/05 13:03:06;"pstr";51.00;-9999.00;"4"
256;350580.39;5776186.87;75.80;6.81770092;52.11600289;75.80;1.70;0.00;0.00;2024/12/05 13:03:48;"ps";170.00;-9999.00;"1"
257;350568.84;5776188.80;78.30;6.81753143;52.11601712;78.30;1.60;0.00;0.00;2024/12/05 13:04:39;"ps";103.00;-9999.00;"1"
258;350564.63;5776172.61;76.60;6.81747723;52.11587045;76.60;1.70;0.00;0.00;2024/12/05 13:05:34;"pstr";41.00;-9999.00;"3"
259;350563.18;5776169.62;76.90;6.81745730;52.11584322;76.90;1.70;0.00;0.00;2024/12/05 13:06:09;"le";139.00;-9999.00;"1"
260;350565.04;5776166.67;71.20;6.81748578;52.11581720;71.20;1.70;0.00;0.00;2024/12/05 13:07:57;"pstr";31.00;-9999.00;"3"
261;350561.49;5776166.63;72.70;6.81743398;52.11581595;72.70;1.70;0.00;0.00;2024/12/05 13:08:19;"pstr";35.00;-9999.00;"4"
262;350562.89;5776169.33;75.60;6.81745318;52.11584054;75.60;1.70;0.00;0.00;2024/12/05 13:08:54;"pstr";-9999.00;-9999.00;"4"
263;350564.07;5776171.17;77.40;6.81746965;52.11585740;77.40;1.70;0.00;0.00;2024/12/05 13:09:48;"pstr";27.50;-9999.00;"3"
264;350565.08;5776169.69;76.40;6.81748498;52.11584437;76.40;1.80;0.00;0.00;2024/12/05 13:10:45;"pstr";71.00;-9999.00;"2"
265;350567.35;5776169.37;75.00;6.81751830;52.11584212;75.00;1.80;0.00;0.00;2024/12/05 13:11:18;"pstr";25.00;-9999.00;"3"
266;350571.11;5776170.97;71.20;6.81757247;52.11585754;71.20;1.60;0.00;0.00;2024/12/05 13:12:53;"pstr";54.00;-9999.00;"3"
267;350575.80;5776168.63;71.70;6.81764197;52.11583774;71.70;1.60;0.00;0.00;2024/12/05 13:13:37;"ps";84.00;-9999.00;"1"
268;350580.90;5776158.89;86.60;6.81772067;52.11575164;86.60;1.70;0.00;0.00;2024/12/05 13:14:34;"pstr";32.00;-9999.00;"3"
269;350579.62;5776159.87;85.90;6.81770150;52.11576010;85.90;1.90;0.00;0.00;2024/12/05 13:15:07;"ps";121.00;-9999.00;"1"
270;350579.67;5776160.42;83.20;6.81770200;52.11576504;83.20;1.80;0.00;0.00;2024/12/05 13:15:36;"pstr";103.00;-9999.00;"2"
271;350580.74;5776161.27;79.70;6.81771732;52.11577295;79.70;1.80;0.00;0.00;2024/12/05 13:16:15;"bpe";56.00;-9999.00;"1"
272;350579.16;5776158.72;79.50;6.81769527;52.11574962;79.50;1.60;0.00;0.00;2024/12/05 13:16:58;"pa";37.00;-9999.00;"3"
273;350580.74;5776156.21;75.70;6.81771948;52.11572752;75.70;1.70;0.00;0.00;2024/12/05 13:17:29;"pstr";32.00;-9999.00;"3"
274;350581.07;5776155.27;76.40;6.81772473;52.11571917;76.40;1.90;0.00;0.00;2024/12/05 13:17:54;"pstr";28.00;-9999.00;"3"
275;350581.66;5776155.61;75.90;6.81773312;52.11572237;75.90;1.90;0.00;0.00;2024/12/05 13:18:19;"pstr";32.00;-9999.00;"4"
276;350582.99;5776155.10;76.00;6.81775285;52.11571817;76.00;1.70;0.00;0.00;2024/12/05 13:18:48;"pstr";37.00;-9999.00;"4"
277;350584.16;5776155.71;76.60;6.81776953;52.11572392;76.60;1.60;0.00;0.00;2024/12/05 13:19:36;"pstr";79.00;-9999.00;"3"
278;350586.28;5776155.93;76.10;6.81780038;52.11572650;76.10;1.60;0.00;0.00;2024/12/05 13:20:25;"bpe";76.00;-9999.00;"1"
279;350589.62;5776160.21;76.70;6.81784725;52.11576587;76.70;1.60;0.00;0.00;2024/12/05 13:21:37;"bpe";114.00;-9999.00;"1"
280;350587.94;5776161.36;77.40;6.81782230;52.11577572;77.40;1.60;0.00;0.00;2024/12/05 13:22:13;"bpe";79.00;-9999.00;"1"
281;350576.87;5776168.49;72.70;6.81765765;52.11583682;72.70;2.00;0.00;0.00;2024/12/05 13:23:14;"pstr";74.00;-9999.00;"2"
282;350579.87;5776166.34;79.60;6.81770228;52.11581829;79.60;1.90;0.00;0.00;2024/12/05 13:23:43;"pstr";39.00;-9999.00;"3"
283;350583.86;5776173.60;80.80;6.81775738;52.11588455;80.80;1.80;0.00;0.00;2024/12/05 13:24:15;"pstr";67.00;-9999.00;"3"
284;350588.05;5776174.84;77.10;6.81781798;52.11589689;77.10;1.70;0.00;0.00;2024/12/05 13:25:27;"ps";86.00;-9999.00;"1"
285;350589.01;5776173.65;75.60;6.81783252;52.11588644;75.60;1.70;0.00;0.00;2024/12/05 13:25:58;"";55.00;-9999.00;"3"
286;350589.16;5776176.43;77.50;6.81783343;52.11591144;77.50;1.80;0.00;0.00;2024/12/05 13:27:15;"pstr";66.00;-9999.00;"3"
