"TreeID","PlotID","East","North","Elev","Lon","Lat","Alt","Pdop","HRMS","VRMS","Species","Circumference","DBH","Kraft","Date","Observer","geometry"
31,"LW12",350069.88,5775767.29,NA,6.81043547,52.11209506,NA,0.93,0.6,0.85,"Pinus sylvestris",0.67,0.213,2,2024-11-13,"Studienprojekt2024",c(350069.88, 5775767.29)
32,"LW12",350067.73,5775767.59,NA,6.810404,52.11209724,NA,0.96,0.61,0.83,"Pinus sylvestris",0.53,0.169,3,2024-11-13,"Studienprojekt2024",c(350067.73, 5775767.59)
33,"LW12",350071.85,5775766.5,NA,6.81046462,52.11208855,NA,0.91,0.49,0.67,"Betula pubescens",0.2,0.064,4,2024-11-13,"Studienprojekt2024",c(350071.85, 5775766.5)
34,"LW12",350075.76,5775762.29,NA,6.8105235,52.11205177,NA,0.9,0.65,0.91,"Betula pubescens",0.21,0.067,4,2024-11-13,"Studienprojekt2024",c(350075.76, 5775762.29)
35,"LW12",350077.34,5775764.56,NA,6.81054551,52.11207262,NA,0.9,0.66,0.86,"Pinus sylvestris",0.585,0.186,1,2024-11-13,"Studienprojekt2024",c(350077.34, 5775764.56)
36,"LW12",350080.56,5775762.06,NA,6.81059364,52.11205104,NA,0.93,0.81,1,"Pinus sylvestris",0.475,0.151,2,2024-11-13,"Studienprojekt2024",c(350080.56, 5775762.06)
37,"LW12",350081.28,5775761.5,NA,6.81060441,52.11204621,NA,0.89,0.74,1.1,"Pinus sylvestris",0.505,0.161,2,2024-11-13,"Studienprojekt2024",c(350081.28, 5775761.5)
38,"LW12",350081.28,5775762.98,NA,6.8106037,52.11205948,NA,0.89,0.71,0.98,"Pinus sylvestris",0.59,0.188,2,2024-11-13,"Studienprojekt2024",c(350081.28, 5775762.98)
39,"LW12",350083.32,5775760.35,NA,6.8106346,52.11203642,NA,0.87,0.73,1,"Pinus sylvestris",0.775,0.247,1,2024-11-13,"Studienprojekt2024",c(350083.32, 5775760.35)
40,"LW12",350082.91,5775767.18,NA,6.81062565,52.11209766,NA,0.86,0.73,1,"Pinus sylvestris",0.4,0.127,3,2024-11-13,"Studienprojekt2024",c(350082.91, 5775767.18)
41,"LW12",350084.1,5775767.56,NA,6.8106429,52.11210141,NA,0.82,0.52,0.68,"Betula pubescens",0.165,0.053,5,2024-11-13,"Studienprojekt2024",c(350084.1, 5775767.56)
42,"LW12",350085.56,5775767.76,NA,6.81066412,52.11210361,NA,0.84,0.57,0.74,"Pinus sylvestris",0.735,0.234,1,2024-11-13,"Studienprojekt2024",c(350085.56, 5775767.76)
43,"LW12",350087.28,5775768.97,NA,6.8106887,52.11211492,NA,0.84,0.57,0.71,"Betula pubescens",0.24,0.076,4,2024-11-13,"Studienprojekt2024",c(350087.28, 5775768.97)
44,"LW12",350090.28,5775768.23,NA,6.81073274,52.11210909,NA,0.84,0.59,0.72,"Pinus sylvestris",0.64,0.204,1,2024-11-13,"Studienprojekt2024",c(350090.28, 5775768.23)
45,"LW12",350089.97,5775769.9,NA,6.81072745,52.11212397,NA,0.82,0.55,0.71,"Pinus sylvestris",0.57,0.181,2,2024-11-13,"Studienprojekt2024",c(350089.97, 5775769.9)
46,"LW12",350088.53,5775772.48,NA,6.81070529,52.11214677,NA,0.83,0.55,0.73,"Pinus sylvestris",0.695,0.221,2,2024-11-13,"Studienprojekt2024",c(350088.53, 5775772.48)
47,"LW18",350061.04,5775828.21,NA,6.8102797,52.11263998,NA,0.86,0.65,0.81,"Pinus sylvestris",1.2,0.382,1,2024-11-13,"Studienprojekt2024",c(350061.04, 5775828.21)
48,"LW18",350059.96,5775828.72,NA,6.81026363,52.11264432,NA,0.86,0.59,0.74,"Betula pendula",0.165,0.053,4,2024-11-13,"Studienprojekt2024",c(350059.96, 5775828.72)
49,"LW18",350061.96,5775829.68,NA,6.81029247,52.11265346,NA,0.85,0.54,0.69,"Betula pendula",0.265,0.084,4,2024-11-13,"Studienprojekt2024",c(350061.96, 5775829.68)
50,"LW18",350063.7,5775832.49,NA,6.81031655,52.11267915,NA,0.88,0.51,0.64,"Pinus sylvestris",0.785,0.25,2,2024-11-13,"Studienprojekt2024",c(350063.7, 5775832.49)
51,"LW18",350062.15,5775835.51,NA,6.81029262,52.11270594,NA,0.87,0.49,0.67,"Betula pubescens",0.18,0.057,4,2024-11-13,"Studienprojekt2024",c(350062.15, 5775835.51)
